UTS,YS,C,Mn,Si,S,P,Cr,Ni,Mo
530.1,288.4,0.063,1.004,1.205,0.01,0.04,18.323,8.268,0.287
530.1,288.4,0.063,1.004,1.205,0.01,0.04,18.323,8.268,0.287
563.6,279.3,0.063,1.004,1.205,0.01,0.04,18.323,8.268,0.287
563.6,279.3,0.063,1.004,1.205,0.01,0.04,18.323,8.268,0.287
571.3,290.2,0.06,1.023,1.21,0.01,0.04,18.3,8.151,0.228
576.8,280.1,0.056,1.005,1.248,0.01,0.04,18.315,8.203,0.251
576.8,280.1,0.056,1.005,1.248,0.01,0.04,18.315,8.203,0.251
561.3,292.6,0.061,1.031,1.23,0.01,0.04,18.366,8.143,0.233
561.3,292.6,0.061,1.031,1.23,0.01,0.04,18.366,8.143,0.233
528.7,290.5,0.055,1.078,1.183,0.02,0.04,18.235,8.178,0.279
535.8,275.6,0.051,1.014,1.229,0.01,0.04,18.347,8.141,0.203
535.8,275.6,0.051,1.014,1.229,0.01,0.04,18.347,8.141,0.203
560.2,290.5,0.051,1.064,1.249,0.01,0.04,18.421,8.101,0.204
560.2,290.5,0.051,1.064,1.249,0.01,0.04,18.421,8.101,0.204
578.6,296.1,0.058,1.006,1.212,0.01,0.04,18.358,8.174,0.221
578.6,296.1,0.058,1.006,1.212,0.01,0.04,18.358,8.174,0.221
525.8,299.3,0.051,0.995,1.217,0.01,0.04,18.136,8.166,0.171
525.8,299.3,0.051,0.995,1.217,0.01,0.04,18.136,8.166,0.171
535.4,295.8,0.052,0.97,1.199,0.01,0.04,18.295,8.187,0.184
535.4,295.8,0.052,0.97,1.199,0.01,0.04,18.295,8.187,0.184
560.1,258.6,0.062,1.028,1.233,0.01,0.04,18.362,8.199,0.244
560.1,258.6,0.062,1.028,1.233,0.01,0.04,18.362,8.199,0.244
580.6,265.1,0.054,1.021,1.285,0.01,0.04,18.299,8.047,0.194
580.6,265.1,0.054,1.021,1.285,0.01,0.04,18.299,8.047,0.194
548.5,280.1,0.05,1.037,1.237,0.01,0.04,18.307,8.124,0.214
548.5,280.1,0.05,1.037,1.237,0.01,0.04,18.307,8.124,0.214
550.9,289.3,0.05,1.025,1.232,0.01,0.04,18.457,8.258,0.28
550.9,289.3,0.05,1.025,1.232,0.01,0.04,18.457,8.258,0.28
